ICC Women's T20 Team Rankings
Team,Matches,Points,Rating
Australia Women,31,8819,284
England Women,34,9448,278
New Zealand Women,32,8837,276
West Indies Women,31,8086,261
India Women,38,9504,250
South Africa Women,33,8015,243
Pakistan Women,39,8874,228
Sri Lanka Women,32,6569,205
Bangladesh Women,31,5913,191
Ireland Women,25,4368,175
Zimbabwe Women,28,4337,155
Thailand Women,46,7125,155
Scotland Women,18,2696,150
Nepal Women,19,2425,128
UAE Women,27,3381,125
PNG Women,22,2737,124
Samoa Women,15,1816,121
Uganda Women,34,4103,121
Kenya Women,14,1427,102
Tanzania Women,28,2755,98
Netherlands Women,18,1486,83
Indonesia Women,20,1636,82
Hong Kong Women,26,1979,76
Qatar Women,5,368,74
Namibia Women,34,2458,72
China Women,24,1612,67
Vanuatu Women,15,734,49
Argentina Women,14,674,48
Japan Women,10,464,46
Rwanda Women,15,654,44
Myanmar Women,10,424,42
Sierra Leone Women,12,489,41
Jersey Women,7,280,40
Malaysia Women,36,1428,40
Kuwait Women,8,309,39
Germany Women,10,380,38
USA Women,4,150,38
France Women,11,411,37
Botswana Women,15,555,37
Oman Women,4,145,36
Brazil Women,18,597,33
Nigeria Women,12,364,30
South Korea Women,5,136,27
Bhutan Women,7,167,24
Denmark Women,5,98,20
Mexico Women,6,100,17
Mozambique Women,14,202,14
Singapore Women,12,148,12
Zambia Women,3,34,11
Malawi Women,7,68,10
Austria Women,6,54,9
Belgium Women,5,43,9
Chile Women,13,86,7
Peru Women,11,1,0
Norway Women,8,0,0
Lesotho Women,8,0,0
Fiji Women,12,0,0
Mali Women,6,0,0
Swaziland Women,4,0,0
