Name,Rating,Price
Samsung Galaxy Note 10 (Aura Glow | 256 GB),-,69999
Samsung Galaxy Note 10 Plus (Aura Black | 256 GB),-,79999
Samsung Galaxy Note 10 Plus (Aura Glow | 512 GB),-,89999
Samsung Galaxy Note 10 (Aura Red | 256 GB),-,69999
Samsung Galaxy Note 10 Plus (Aura Black | 512 GB),-,89999
Samsung Galaxy Note 10 (Aura Black | 256 GB),-,69999
Samsung Galaxy Note 10 Plus (Aura White | 256 GB),-,79999
Samsung Galaxy M40 (Seawater Blue | 128 GB),4,20890
Samsung Galaxy Note 10 Plus (Aura Glow | 256 GB),-,79999
Samsung Galaxy M40 (Midnight Blue | 128 GB),4,21229
Samsung Galaxy A8 Plus (Black | 64 GB),4.4,16870
Samsung Galaxy A80 (Phantom Black | 128 GB),4.4,47990
Samsung Galaxy A80 (Angel Gold | 128 GB),4.4,47990
Samsung Galaxy A80 (Ghost White | 128 GB),4.4,47990
Samsung Galaxy A30 (White | 64 GB),4.4,15490
Samsung Galaxy A20 (Gold | 32 GB),4.3,11490
Samsung Galaxy A10 (Gold | 32 GB),4.3,7990
Samsung Galaxy A70 (Black | 128 GB),4.3,28990
Samsung Galaxy A70 (Blue | 128 GB),4.3,28990
Samsung Galaxy A70 (White | 128 GB),4.3,28990
Samsung Galaxy A20 (Red | 32 GB),4.3,11500
Samsung Galaxy A20 (Deep Blue | 32 GB),4.3,11490
Samsung Galaxy A2 Core (Gold | 16 GB),4.1,5290
Samsung Galaxy A2 Core (Blue | 16 GB),4.1,5290
